unit	cone	cross	a	b	c
F1	80	G	3.725898357	18.06613573	3.130052465
F1	81	G	4.001520139	18.2205351	3.793401031
F1	82	G	4.419780777	18.79787588	6.09781097
F1	83	A	3.725898357	18.06613573	3.130052465
F1	84	G	4.020838177	16.10096254	4.823772759
F1	85	G	3.372317285	15.62160863	2.318223191
F1	86	A	4.270567864	27.87234754	3.805436501
F1	87	G	3.84283876	16.23858086	3.45743604
F1	88	G	3.483741569	18.35028102	2.542586588
F1	89	G	3.909928479	20.62910648	3.254096638
F1	90	G	3.594024766	16.19463358	2.718847179
F1	91	A	3.84283876	16.23858086	3.45743604
F1	92	A	3.372317285	15.62160863	2.318223191
F1	93	A	3.823527216	17.94822506	3.844998605
F1	94	A	3.525492649	16.5003746	1.98774323
F1	95	G	4.040447983	20.60872345	3.023135935
F1	96	G	3.84283876	16.23858086	3.45743604
H1	1	G	3.879860227	16.17206787	3.749488308
H1	2	G	4.007362517	16.29709899	3.591484124
H1	3	G	3.79746971	16.97734038	2.766690172
H1	4	A	3.776988731	15.18681975	2.121995927
H1	5	G	3.879860227	16.17206787	3.749488308
H1	6	G	3.983537664	18.3699545	3.596112222
H1	7	A	3.79746971	16.97734038	2.766690172
H1	8	G	3.77740528	16.2240698	2.954874952
H1	9	G	3.932651632	16.45148431	2.946354143
H1	10	G	5.396375859	29.49696287	4.624159019
H1	11	A	3.79746971	16.97734038	2.766690172
H1	12	A	3.944386472	17.1461557	2.700971073
H1	13	A	3.805066361	18.10159649	3.644087047
H1	14	G	3.879860227	16.17206787	3.749488308
H1	15	A	3.927632474	19.17061951	1.826082745
H1	16	A	3.581089579	16.52882787	2.461620285
H1	17	A	3.79746971	16.97734038	2.766690172
H1	18	A	3.932651632	16.45148431	2.946354143
H1	19	A	3.983537664	18.3699545	3.596112222
H1	20	G	3.5631941	17.0081959	0.905803892
H1	21	A	4.007362517	16.29709899	3.591484124
H1	22	G	3.927251814	17.06720047	3.668053493
H1	23	A	3.77740528	16.2240698	2.954874952
H1	24	A	3.944386472	17.1461557	2.700971073
H1	25	G	4.046372173	20.7315606	2.983376429
H1	26	A	4.066124367	18.24278775	3.258130424
H1	27	G	3.79746971	16.97734038	2.766690172
H1	28	G	4.453939324	19.15267701	6.078867363
H1	29	G	3.77740528	16.2240698	2.954874952
H1	30	G	3.800196416	18.5734301	2.285568994
H1	31	G	3.668569054	15.66182111	3.549816116
H1	32	A	3.77740528	16.2240698	2.954874952
H1	33	G	4.006222537	15.64207011	3.931090427
H1	34	G	4.007362517	16.29709899	3.591484124
H1	35	A	3.944386472	17.1461557	2.700971073
H1	36	G	3.773463021	19.06211106	1.885687195
H1	37	G	4.432037571	21.93721712	4.749370927
H1	38	A	3.79746971	16.97734038	2.766690172
H1	39	A	3.983537664	18.3699545	3.596112222
H1	40	G	4.006222537	15.64207011	3.931090427
H1	41	A	3.79746971	16.97734038	2.766690172
H1	42	G	3.800196416	18.5734301	2.285568994
H1	43	A	3.983537664	18.3699545	3.596112222
H1	44	A	3.983537664	18.3699545	3.596112222
H1	45	G	4.19994274	21.93192223	3.553852418
H1	46	A	3.983537664	18.3699545	3.596112222
H1	47	A	4.066124367	18.24278775	3.258130424
H1	48	G	3.79746971	16.97734038	2.766690172
H1	49	G	3.853625442	17.20886196	1.980127188
H1	50	G	4.186566019	19.81116166	4.318851015
H1	51	G	3.77740528	16.2240698	2.954874952
H1	52	G	3.981368067	15.49561786	4.849451768
H1	53	A	3.882204954	18.40823187	2.913573562
H1	54	G	3.805066361	18.10159649	3.644087047
H1	55	G	3.79746971	16.97734038	2.766690172
H1	56	A	4.066124367	18.24278775	3.258130424
H1	57	A	3.932651632	16.45148431	2.946354143
H1	58	G	3.983537664	18.3699545	3.596112222
H1	59	A	3.77740528	16.2240698	2.954874952
H1	60	A	3.77740528	16.2240698	2.954874952
H1	61	A	3.548644091	18.6837518	1.568783914
H1	62	G	3.758513564	17.3118866	1.220673141
H1	63	A	3.944386472	17.1461557	2.700971073
H1	64	A	3.879860227	16.17206787	3.749488308
H1	65	A	3.79746971	16.97734038	2.766690172
H1	66	G	3.79746971	16.97734038	2.766690172
H1	67	G	3.79746971	16.97734038	2.766690172
H1	68	G	3.77740528	16.2240698	2.954874952
H1	69	A	4.00556933	16.30402913	4.591685148
H1	70	G	3.879860227	16.17206787	3.749488308
H1	71	A	4.080423421	19.81721484	2.83441684
H1	72	A	3.944386472	17.1461557	2.700971073
H1	73	A	3.944386472	17.1461557	2.700971073
H1	74	G	3.79746971	16.97734038	2.766690172
H1	75	A	3.79746971	16.97734038	2.766690172
H1	76	G	3.975574739	17.70631652	3.893809932
H1	77	G	3.932651632	16.45148431	2.946354143
