unit	cone	cross	drought_b	survival_time	biomass	log_surv	sqrt_surv	log_biomass	sqrt_biomass
C1	NA	A	18.81694	28	0.0548	1.447158031	5.291502622	-1.261219442	0.234093998
C1	NA	A	18.23478	27	0.0884	1.431363764	5.196152423	-1.053547735	0.297321375
C1	NA	A	18.15253	28	0.0675	1.447158031	5.291502622	-1.170696227	0.259807621
C1	NA	A	14.44035	27	0.0977	1.431363764	5.196152423	-1.010105436	0.312569992
C1	NA	A	16.04144	28	0.1268	1.447158031	5.291502622	-0.896880746	0.356089876
C1	NA	A	16.91647	28	0.0562	1.447158031	5.291502622	-1.250263684	0.237065392
C1	NA	A	16.74136	27	0.0695	1.431363764	5.196152423	-1.158015195	0.263628527
C1	NA	A	24.69079	34	0.0534	1.531478917	5.830951895	-1.272458743	0.2310844
C1	NA	A	26.87942	34	0.0263	1.531478917	5.830951895	-1.580044252	0.162172747
C1	NA	A	14.81738	26	0.0716	1.414973348	5.099019514	-1.145086978	0.267581763
C1	NA	A	17.16875	27	0.0707	1.431363764	5.196152423	-1.150580586	0.265894716
C1	NA	A	21.11885	28	0.0577	1.447158031	5.291502622	-1.238824187	0.240208243
C1	NA	A	27.70424	35	0.0273	1.544068044	5.916079783	-1.563837353	0.165227116
C1	NA	A	19.38889	28	0.0605	1.447158031	5.291502622	-1.218244625	0.245967478
C1	NA	A	18.55769	29	0.0487	1.462397998	5.385164807	-1.312471039	0.220680765
C1	NA	A	17.3698	27	0.0571	1.431363764	5.196152423	-1.243363892	0.238956063
C1	NA	A	21.97063	34	0.0353	1.531478917	5.830951895	-1.452225295	0.187882942
C1	NA	A	16.5282	26	0.0905	1.414973348	5.099019514	-1.043351421	0.300832179
C1	NA	A	27.76166	35	0.038	1.544068044	5.916079783	-1.420216403	0.194935887
C1	NA	A	19.13509	35	0.1072	1.544068044	5.916079783	-0.969805215	0.327414111
C1	NA	A	21.97063	34	0.044	1.531478917	5.830951895	-1.356547324	0.20976177
C1	NA	A	20.7885	28	0.0617	1.447158031	5.291502622	-1.209714836	0.248394847
C1	NA	A	21.97063	34	0.0354	1.531478917	5.830951895	-1.450996738	0.188148877
C1	NA	A	17.44435	35	0.0985	1.544068044	5.916079783	-1.00656377	0.313847097
C1	NA	A	19.67599	28	0.0655	1.447158031	5.291502622	-1.1837587	0.255929678
