unit	cross	days_to_germinate	growth_rate_day	drought_b	survival_time	biomass	sqrt_germ	log_germ	sqrt_growth	log_growth	sqrt_b	log_b	sqrt_surv	log_surv	sqrt_bio	log_bio
A2	A	15	0.035964417	25.48077	34	0.0282	3.872983346	1.176091259	0.189642867	-1.444126975	5.047848056	1.406212548	5.830951895	1.531478917	0.167928556	-1.549750892
A2	A	17	0.0026463	19.33143	35	0.0691	4.123105626	1.230448921	0.051442201	-2.577360923	4.39675221	1.286263981	5.916079783	1.544068044	0.262868789	-1.160521953
A2	A	20	0.030862857	21.26221	34	0.0589	4.472135955	1.301029996	0.175678277	-1.510563873	4.611096399	1.327608403	5.830951895	1.531478917	0.242693222	-1.229884705
A2	A	15	0.023252167	13.97538	21	0.086	3.872983346	1.176091259	0.152486613	-1.633536567	3.738365953	1.145363625	4.582575695	1.322219295	0.293257566	-1.065501549
A2	A	20	0.020763857	23.58379	35	0.0503	4.472135955	1.301029996	0.144096693	-1.682691971	4.856314446	1.372613599	5.916079783	1.544068044	0.224276615	-1.298432015
A2	A	21	0.025319667	18.80792	28	0.0766	4.582575695	1.322219295	0.159121548	-1.59654201	4.336809887	1.274340769	5.291502622	1.447158031	0.27676705	-1.11577123
A2	A	13	0.068605643	13.21372	21	0.1325	3.605551275	1.113943352	0.261926789	-1.163640161	3.635068087	1.1210251	4.582575695	1.322219295	0.364005494	-0.877784122
A2	A	15	0.039054167	16.04144	28	0.0822	3.872983346	1.176091259	0.197621272	-1.408332621	4.00517665	1.205243351	5.291502622	1.447158031	0.286705424	-1.085128182
A2	A	17	0.018508	21.97063	34	0.0475	4.123105626	1.230448921	0.13604411	-1.732640509	4.687283862	1.34184251	5.830951895	1.531478917	0.217944947	-1.32330639
A2	A	16	0.023085091	18.95559	27	0.0538	4	1.204119983	0.151937787	-1.636668409	4.353801787	1.277737307	5.196152423	1.431363764	0.23194827	-1.269217724
A2	A	17	0.0432588	19.02965	28	0.0685	4.123105626	1.230448921	0.2079875	-1.363925532	4.362298706	1.279430801	5.291502622	1.447158031	0.261725047	-1.164309429
A2	A	14	0.076484385	11.20257	28	0.2022	3.741657387	1.146128036	0.276558104	-1.116427221	3.347024051	1.049317666	5.291502622	1.447158031	0.449666543	-0.694218849
A2	A	16	0.032630636	15.68337	28	0.0833	4	1.204119983	0.180639519	-1.486374461	3.960223479	1.195439388	5.291502622	1.447158031	0.288617394	-1.079354999
A2	A	15	0.049676167	17.22751	28	0.1045	3.872983346	1.176091259	0.222881509	-1.303851922	4.150603571	1.236222511	5.291502622	1.447158031	0.323264598	-0.98088371
A2	A	11	0.12610675	13.54928	27	0.1903	3.31662479	1.041392685	0.355115122	-0.899261667	3.680934664	1.131916218	5.196152423	1.431363764	0.436233882	-0.720561212
A2	A	13	0.07835	16.31069	28	0.0843	3.605551275	1.113943352	0.2799107	-1.105960999	4.038649527	1.212472334	5.291502622	1.447158031	0.290344623	-1.074172425
A2	A	16	0.024256545	18.80792	28	0.0728	4	1.204119983	0.155745128	-1.615171058	4.336809887	1.274340769	5.291502622	1.447158031	0.269814751	-1.137868621
A2	A	12	0.046917	20.32236	34	0.0722	3.464101615	1.079181246	0.216603324	-1.328669766	4.50803283	1.30797414	5.830951895	1.531478917	0.268700577	-1.141462802
A2	A	20	0.019382714	NA	NA	NA	4.472135955	1.301029996	0.139221816	-1.712585412	NA	NA	NA	NA	NA	NA
A2	A	20	0.012312143	NA	NA	NA	4.472135955	1.301029996	0.110960096	-1.909666349	NA	NA	NA	NA	NA	NA
A2	A	22	0.0128794	16.91647	28	0.0522	4.69041576	1.342422681	0.113487444	-1.890104369	4.112963652	1.228309743	5.291502622	1.447158031	0.228473193	-1.282329497
A2	A	20	0.019925286	21.32111	28	0.0666	4.472135955	1.301029996	0.141156955	-1.700595436	4.617478749	1.328809811	5.291502622	1.447158031	0.258069758	-1.176525771
A2	A	15	0.0359055	13.21372	21	0.1121	3.872983346	1.176091259	0.189487467	-1.444839021	3.635068087	1.1210251	4.582575695	1.322219295	0.334813381	-0.950394387
A2	G	12	0.077526267	10.44282	21	0.1831	3.464101615	1.079181246	0.278435391	-1.110551127	3.231535239	1.018817792	4.582575695	1.322219295	0.427901858	-0.737311656
A2	G	14	0.060005846	15.56585	35	0.0968	3.741657387	1.146128036	0.244960907	-1.221806437	3.945358032	1.192172841	5.916079783	1.544068044	0.311126984	-1.014124643
A2	G	20	0.063593	15.84588	26	0.1461	4.472135955	1.301029996	0.252176525	-1.196590687	3.980688383	1.199916363	5.099019514	1.414973348	0.382230297	-0.835349784
A2	G	20	0.037533286	24.41446	34	0.0615	4.472135955	1.301029996	0.193735092	-1.425583412	4.941099068	1.387647123	5.830951895	1.531478917	0.247991935	-1.211124884
A2	G	23	0.014377	NA	NA	NA	4.795831523	1.361727836	0.119904128	-1.842331727	NA	NA	NA	NA	NA	NA
A2	G	12	0.028097067	22.40026	34	0.1165	3.464101615	1.079181246	0.167621798	-1.551339013	4.732891294	1.350253059	5.830951895	1.531478917	0.341320963	-0.933674075
A2	G	23	0.024519	19.31801	28	0.056	4.795831523	1.361727836	0.15658544	-1.610497246	4.395225819	1.285962387	5.291502622	1.447158031	0.236643191	-1.251811973
A2	G	11	0.120700188	12.09228	21	0.237	3.31662479	1.041392685	0.347419326	-0.918292053	3.477395577	1.082508195	4.582575695	1.322219295	0.486826458	-0.625251654
A2	G	20	0.035280571	16.19307	28	0.0766	4.472135955	1.301029996	0.18783123	-1.452464395	4.024061381	1.209329193	5.291502622	1.447158031	0.27676705	-1.11577123
A2	G	13	0.077816357	21.32111	28	0.0935	3.605551275	1.113943352	0.278955833	-1.108929105	4.617478749	1.328809811	5.291502622	1.447158031	0.305777697	-1.029188389
A2	G	20	0.026917286	25.48077	34	0.0533	4.472135955	1.301029996	0.164064884	-1.569968731	5.047848056	1.406212548	5.830951895	1.531478917	0.230867928	-1.273272791
A2	G	12	0.1016134	18.80792	28	0.143	3.464101615	1.079181246	0.318768568	-0.993049017	4.336809887	1.274340769	5.291502622	1.447158031	0.378153408	-0.844663963
A2	G	17	0.042991	21.80454	34	0.0843	4.123105626	1.230448921	0.207342711	-1.366622453	4.669533167	1.338546929	5.830951895	1.531478917	0.290344623	-1.074172425
A2	G	14	0.082335	12.60872	21	0.1565	3.741657387	1.146128036	0.28694076	-1.08441551	3.550875948	1.100671001	4.582575695	1.322219295	0.395600809	-0.805485658
A2	G	20	0.025494429	18.05296	28	0.0613	4.472135955	1.301029996	0.15966975	-1.593554711	4.248877499	1.25654842	5.291502622	1.447158031	0.247588368	-1.212539525
A2	G	20	0.039890143	20.73658	28	0.0534	4.472135955	1.301029996	0.199725169	-1.399134407	4.553743515	1.316737132	5.291502622	1.447158031	0.2310844	-1.272458743
